hash,session_id,generated_at,ip,city,priorities
ebd956c1f0b97980,session_1762078445225_f06rld5jj,2025-11-02T09:32:45.461683,127.0.0.1,,"{""custo"": ""100.0"", ""qualidade"": ""0.0"", ""prazo"": ""0.0""}"
757176cbc8e25602,session_1762078445225_f06rld5jj,2025-11-02T09:43:59.066377,127.0.0.1,,"{""custo"": ""21.3"", ""qualidade"": ""30.3"", ""prazo"": ""48.4""}"
f4f395f9aba38bac,session_1762078445225_f06rld5jj,2025-11-02T10:43:40.038797,127.0.0.1,,"{""custo"": ""99.0"", ""qualidade"": ""0.2"", ""prazo"": ""0.8""}"
ab64684024b38b38,session_1762096551634_o0v2j7mb8,2025-11-02T12:22:24.469126,127.0.0.1,,"{""custo"": ""75.4"", ""qualidade"": ""16.0"", ""prazo"": ""8.6""}"
dea0ca5f5d45f89f,session_1762096551634_o0v2j7mb8,2025-11-02T12:47:49.746267,127.0.0.1,,"{""custo"": ""0.8"", ""qualidade"": ""93.1"", ""prazo"": ""6.1""}"
0d5b3de3d60971d1,session_1762096551634_o0v2j7mb8,2025-11-02T12:58:56.125610,127.0.0.1,,"{""custo"": ""98.1"", ""qualidade"": ""0.2"", ""prazo"": ""1.7""}"
478f57e0ab4978a1,session_1762449858897_iu8i2p8eo,2025-11-06T14:24:49.394309,127.0.0.1,,"{""custo"": ""56.4"", ""qualidade"": ""25.3"", ""prazo"": ""18.3""}"
093c9e99efea5917,session_1762449858897_iu8i2p8eo,2025-11-06T18:59:41.054883,127.0.0.1,,"{""custo"": ""33.3"", ""qualidade"": ""33.3"", ""prazo"": ""33.3""}"
f35d9631a877d32d,session_1762449858897_iu8i2p8eo,2025-11-06T19:09:15.828547,127.0.0.1,,"{""custo"": ""33.3"", ""qualidade"": ""33.3"", ""prazo"": ""33.3""}"
70ee0f628848ca60,session_1762449858897_iu8i2p8eo,2025-11-06T19:09:52.993884,127.0.0.1,,"{""custo"": ""33.3"", ""qualidade"": ""33.3"", ""prazo"": ""33.3""}"
fb234bbd869239e5,session_1762449858897_iu8i2p8eo,2025-11-06T19:23:47.086876,127.0.0.1,,"{""custo"": ""33.3"", ""qualidade"": ""33.3"", ""prazo"": ""33.3""}"
4061fa6ccf972520,session_1762449858897_iu8i2p8eo,2025-11-06T19:23:51.609294,127.0.0.1,,"{""custo"": ""33.3"", ""qualidade"": ""33.3"", ""prazo"": ""33.3""}"
93d3fe5e8b97fbc2,session_1762470029731_e4g0auqr5,2025-11-06T20:00:46.904299,127.0.0.1,,"{""custo"": ""33.3"", ""qualidade"": ""33.3"", ""prazo"": ""33.3""}"
6fade623069b6805,,2025-11-14T10:19:46.105937,N/A,N/A,"{""r"": 18.5, ""g"": 44, ""b"": 37.5}"
bc3eaeeb6d07f794,session_1763413724076_36wunofiw,2025-11-17T18:09:12.897310,127.0.0.1,,"{""r"": 33.3, ""g"": 33.3, ""b"": 33.3}"
5d64e49a0bec624a,session_1763434818055_6i8uvrqzq,2025-11-18T01:17:54.697670,127.0.0.1,,"{""r"": 33.3, ""g"": 33.3, ""b"": 33.3}"
071a83bbc371d1ed,session_1763585064247_vfn55gusz,2025-11-19T17:47:48.097158,127.0.0.1,,"{""r"": 20.1, ""g"": 67.1, ""b"": 12.8}"
c4975bfdcce97be3,session_1763585473498_erwtka10s,2025-11-19T17:51:23.673671,,,"{""r"": 9.5, ""g"": 89.7, ""b"": 0.8}"
e524f3f4032c5247,session_1763585767623_k1sv4lrgb,2025-11-19T17:59:19.566662,127.0.0.1,,"{""r"": 44.1, ""g"": 31.5, ""b"": 24.4}"
d3e896a78f58372b,session_1763585009190_35nm5nj94,2025-11-19T19:19:14.487630,127.0.0.1,,"{""r"": 18.7, ""g"": 72.9, ""b"": 8.4}"
c230e1443c929003,session_1763584918381_dd342ak6k,2025-11-19T19:20:00.970040,127.0.0.1,,"{""r"": 66.8, ""g"": 20.3, ""b"": 12.9}"
4cd486bc1818cef0,session_1763585009190_35nm5nj94,2025-11-19T19:20:36.489396,127.0.0.1,,"{""r"": 6.1, ""g"": 7.1, ""b"": 86.8}"
7ee01c3e0513f233,session_1763585009190_35nm5nj94,2025-11-19T19:21:46.530028,127.0.0.1,,"{""r"": 69.7, ""g"": 9.7, ""b"": 20.6}"
8475367a9fe06e9e,session_1763601533828_uqtwmitsd,2025-11-19T22:19:03.919370,127.0.0.1,,"{""r"": 79.6, ""g"": 12.8, ""b"": 7.6}"
c49b056e2d9adb85,session_1763601533828_uqtwmitsd,2025-11-19T22:33:13.481000,127.0.0.1,,"{""r"": 71.2, ""g"": 16.9, ""b"": 11.9}"
e15420a258e73315,session_1763733374402_ygryjuhkq,2025-11-21T10:56:31.491558,127.0.0.1,,"{""r"": 72.5, ""g"": 10, ""b"": 17.5}"
